"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pk"
"PBANKA_1415800","-7e-05 (0.13)","0.021 (0.05)","0.45 (5.9e-23)","-0.27 (1.2e-76)","0 (1)","0.0071 (9.4e-10)","-0.018 (4.7e-06)","-0.0015 (0.00022)","0.00052 (0.64)","-0.0011 (0.53)","-0.00031 (0.8)","-0.00016 (0.6)","-1.2e-05 (0.89)","PF3D7_1317300","PKNH_1418000"
"PBANKA_1416100","-0.014 (0.76)","0.013 (0.84)","0.17 (6.2e-25)","0.35 (5.3e-68)","0.24 (1.8e-06)","-0.26 (1.2e-31)","0.06 (0.29)","-0.042 (3.4e-06)","0.00028 (0.8)","0.16 (9e-09)","-0.65 (0.8)","-0.34 (0.6)","-0.071 (0.56)","PF3D7_1317600","PKNH_1418300"
"PBANKA_1416300","0.35 (5.1e-07)","0.9 (2.5e-12)","-1.4 (9.6e-131)","0.0034 (0.21)","0 (1)","0.001 (0.018)","0.087 (1e-14)","-0.069 (2.1e-31)","0.0048 (0.11)","0.021 (0.00014)","0.034 (0.97)","-0.0043 (1)","0.069 (0.8)","PF3D7_1317800","PKNH_1418500"
"PBANKA_1417900","0.0072 (0.69)","-0.00079 (0.9)","0.0095 (0.0018)","0.11 (1e-55)","0.2 (5.2e-11)","0.0083 (0.81)","-0.45 (3.7e-10)","0.016 (0.0059)","-0.016 (0.0024)","0.007 (0.00091)","-0.02 (0.88)","0.032 (0.6)","0.011 (0.87)","PF3D7_1319400","PKNH_1420200"
"PBANKA_1418400","-0.0073 (0.7)","-8e-04 (0.98)","0.51 (1e-58)","-0.088 (0.00098)","-0.096 (0.048)","-0.14 (2.4e-15)","0.66 (2.4e-13)","-0.42 (8.3e-28)","-0.014 (0.18)","-0.0012 (0.084)","0.082 (0.8)","-0.00061 (0.65)","0.078 (0.63)","PF3D7_1320100","PKNH_1420700"
"PBANKA_1418800","-0.035 (0.69)","0.0064 (0.81)","0.12 (5e-12)","0.3 (8.7e-54)","-0.44 (3.2e-26)","0.28 (6e-24)","-0.22 (0.004)","-0.14 (2.1e-10)","0.012 (0.63)","8.6e-05 (0.17)","1 (0.8)","-5.9e-05 (0.6)","-0.094 (0.63)","PF3D7_1320500","PKNH_1421100"
"PBANKA_1418900","0.0035 (7.6e-06)","0.015 (0.7)","0.66 (2.8e-71)","0.045 (0.073)","0.086 (0.071)","-0.52 (4.5e-79)","0.081 (2.1e-05)","-0.35 (1.1e-13)","-0.0055 (0.52)","-0.0023 (1.2e-06)","0 (1)","0 (1)","0.00013 (0.97)","PF3D7_1320600","PKNH_1421200"
"PBANKA_1419100","0.00072 (0.98)","-0.013 (0.31)","0.66 (2.9e-72)","-0.62 (8.7e-84)","-0.053 (0.068)","-0.055 (4.7e-13)","0.004 (0.59)","-0.0085 (1.9e-08)","0.003 (0.41)","0 (1)","0 (1)","0 (1)","0.011 (0.86)","PF3D7_1320800","PKNH_1421400"
"PBANKA_1419500","0.023 (0.72)","-0.083 (0.49)","0.13 (0.004)","-0.21 (5e-24)","-0.01 (0.81)","-0.089 (3.1e-13)","0.036 (0.00033)","-0.099 (6e-09)","0.0015 (0.67)","0.00025 (0.0047)","-0.00064 (0.99)","-1.9e-06 (1)","0.05 (0.9)","PF3D7_1321200","PKNH_1421800"
"PBANKA_1419700","0.87 (3.5e-07)","0.4 (0.15)","-0.53 (1.1e-64)","-0.00034 (0.5)","0 (1)","3.9e-06 (0.16)","0.05 (9.4e-08)","-0.039 (9e-08)","-0.0045 (0.63)","-0.021 (0.38)","0 (1)","0.094 (0.6)","0.035 (0.91)","PF3D7_1321400","PKNH_1422000"
"PBANKA_1419900","-0.025 (0.69)","-0.0017 (0.69)","0.015 (3.9e-08)","0.12 (2.9e-105)","0.51 (4.5e-45)","-0.17 (3e-09)","-0.085 (0.06)","-0.048 (0.031)","0.0062 (0.66)","-0.00024 (0.44)","0.14 (0.8)","0.0027 (0.81)","0.077 (0.5)","PF3D7_1321600","PKNH_1422200"
"PBANKA_1420300","6.1e-06 (0.97)","0.014 (0.33)","0.16 (1.7e-12)","0.027 (0.21)","-0.18 (7.2e-15)","0.25 (6.7e-26)","0.16 (0.021)","-0.54 (2.2e-21)","-0.12 (0.086)","0.00059 (2.6e-12)","-2e-04 (0.99)","0.0012 (0.6)","0.01 (0.81)","PF3D7_0713700","PKNH_1422600"
"PBANKA_1421000","-0.0019 (0.1)","0.018 (0.67)","0.52 (3.6e-42)","-0.57 (3.1e-119)","-0.024 (2.2e-05)","0.00042 (0.03)","-0.0077 (0.32)","0.077 (5.1e-05)","-0.031 (0.036)","0.00097 (2e-10)","-0.0041 (0.8)","-0.00016 (1)","0.00031 (0.84)","PF3D7_0714400","PKNH_1423300"
"PBANKA_1421600","0.029 (0.0016)","0.0021 (0.36)","0.0026 (0.0016)","0.013 (7e-08)","0.15 (3.8e-14)","-0.079 (0.00059)","0.023 (0.003)","0.006 (0.0012)","-0.00019 (0.83)","-0.0036 (0.075)","0.0011 (0.8)","-0.0011 (0.59)","-0.044 (0.019)","PF3D7_0715300","PKNH_1424300"
"PBANKA_1423400","-0.37 (0.005)","-0.0076 (0.65)","0.018 (0.048)","-0.014 (0.14)","0.027 (0.2)","-0.032 (1.9e-14)","0.0059 (0.14)","-0.0044 (0.46)","-0.00094 (0.00038)","0.14 (0.0021)","2.2 (0.8)","0.84 (0.76)","0.43 (0.62)","PF3D7_0814100","PKNH_1426200"
"PBANKA_1424200","-0.0017 (0.75)","0.0037 (0.88)","0.6 (7.2e-34)","-0.33 (6.2e-68)","-7.6e-05 (1)","0.004 (0.0026)","0.0011 (0.83)","-0.0065 (6.4e-05)","0.0058 (0.0025)","-0.016 (0.0072)","-0.00082 (0.8)","-0.00049 (0.6)","0.0066 (0.63)","PF3D7_0813400","PKNH_1427000"
"PBANKA_1424300","1.1 (1.5e-06)","-1.5 (8.5e-15)","-0.11 (6.3e-21)","-0.00066 (0.11)","0 (1)","0.00013 (0.081)","0.005 (0.01)","0.011 (9.4e-12)","-0.0066 (0.0014)","0.0069 (0.15)","0.019 (0.88)","-0.0033 (1)","0.57 (0.00042)","PF3D7_0813300","PKNH_1427100"
"PBANKA_1424400","-0.53 (0.0014)","-0.012 (0.8)","0.31 (2.6e-40)","0.072 (0.0026)","-0.16 (0.0044)","-0.044 (0.0058)","-0.2 (0.01)","-0.036 (0.00066)","0.0012 (0.8)","0.65 (2.5e-15)","-2.2 (0.8)","1.4 (0.6)","-0.17 (0.78)","PF3D7_0813200","PKNH_1427200"
"PBANKA_1425350","-0.018 (0.72)","0.03 (0.77)","0.36 (3.2e-32)","-0.15 (8.6e-09)","0.53 (1.2e-14)","-0.17 (3.4e-21)","0.048 (0.12)","-0.12 (1.4e-05)","-0.027 (0.14)","-0.00023 (0.1)","-0.0015 (0.8)","-0.00018 (0.6)","0.077 (0.63)","PF3D7_0812220","PKNH_1428400"
"PBANKA_1425500","-0.0094 (0.69)","0.061 (7.5e-08)","0.91 (8.4e-76)","-0.62 (4.7e-145)","0.19 (8e-29)","-0.14 (7.8e-67)","-0.01 (0.00092)","-0.00036 (0.9)","0.004 (0.31)","-0.00023 (0.83)","0.14 (0.8)","-0.00032 (0.72)","-0.024 (0.63)","PF3D7_0812000","PKNH_1428700"
"PBANKA_1425600","-0.011 (0.48)","0.024 (0.31)","0.76 (3.4e-97)","-0.34 (6.8e-49)","0.25 (7.5e-06)","-0.11 (1.3e-06)","0.18 (8.1e-07)","-0.091 (5.4e-12)","-0.0023 (0.033)","6.7e-05 (0.44)","0 (1)","-0.0011 (0.6)","0.021 (0.74)","PF3D7_0811900","PKNH_1428800"
"PBANKA_1425900","-0.014 (0.69)","4.4e-05 (0.65)","-6e-04 (3.9e-100)","4.5e-06 (0.49)","0.00075 (0.14)","0.022 (1.8e-06)","1.1 (1.6e-41)","-0.82 (3.4e-38)","0.24 (0.00044)","-0.03 (0.097)","0.67 (0.8)","-0.00076 (0.76)","-0.026 (0.7)","PF3D7_0811600","PKNH_1429100"
"PBANKA_1426100","-0.011 (0.72)","0.014 (0.49)","0.27 (5e-25)","-0.17 (4.6e-12)","0.28 (3.9e-11)","-0.33 (7.5e-37)","-0.19 (2e-06)","-0.049 (8.9e-08)","-0.00067 (0.83)","-0.014 (0.27)","0.18 (0.8)","-0.00068 (0.82)","-0.039 (0.63)","PF3D7_0811400","PKNH_1429300"
"PBANKA_1426300","0.018 (0.22)","-0.042 (0.014)","0.48 (5.4e-26)","-0.48 (8.3e-69)","-0.046 (0.0019)","0.041 (0.0028)","-0.1 (0.051)","-0.13 (4e-10)","-0.015 (0.095)","0 (1)","0 (1)","0 (1)","-0.094 (0.63)","PF3D7_0811200","PKNH_1429500"
"PBANKA_1427000","-0.00012 (0.99)","0.019 (0.26)","0.38 (5.9e-45)","-0.22 (4.5e-25)","0.13 (1.5e-06)","-0.032 (2.5e-05)","-0.075 (6.6e-13)","6.8e-05 (0.088)","0.00015 (0.00097)","0.00035 (1.2e-05)","-0.004 (0.8)","0.00055 (0.89)","0.034 (0.63)","PF3D7_0810500","PKNH_1430200"
"PBANKA_1427400","9.8e-05 (0.53)","0.00012 (0.39)","0.71 (8.5e-66)","-0.47 (8e-76)","-0.14 (3.8e-08)","0.051 (0.021)","-0.46 (5.1e-17)","-0.012 (0.0012)","0.00022 (0.003)","-2.9e-05 (0.73)","-0.0017 (0.8)","-3.3e-05 (0.6)","-0.00097 (0.63)","PF3D7_0810100","PKNH_1430600"
"PBANKA_1428300","-0.016 (0.59)","0.24 (0.00036)","-0.46 (6.3e-28)","0.063 (5.6e-28)","-0.034 (0.0064)","-0.024 (8.9e-05)","-0.06 (0.0031)","-0.0078 (0.0047)","0.00015 (0.00097)","-0.00069 (0.098)","-0.0011 (0.8)","0.00089 (0.6)","0.028 (0.9)","PF3D7_1212300","PKNH_1431600"
"PBANKA_1429500","-0.34 (0.0071)","0.26 (0.0016)","-0.08 (0.11)","-0.17 (6.9e-96)","0.001 (0.51)","-0.00076 (0.12)","-0.00085 (0.82)","0.03 (1e-06)","-0.032 (0.0031)","-1.3e-05 (0.88)","-0.0021 (0.8)","0.14 (0.6)","0.056 (0.72)","PF3D7_1213700","PKNH_1433200"
"PBANKA_1429900","-0.021 (0.72)","-0.013 (0.78)","0.45 (2.6e-54)","-0.25 (1.3e-47)","0.16 (3e-07)","-0.11 (5.8e-13)","-0.058 (0.27)","0.19 (1.6e-05)","-0.56 (1.2e-25)","-0.0053 (0.27)","0.011 (0.8)","0.00016 (0.72)","-0.073 (0.5)","PF3D7_1214100","PKNH_1433600"
"PBANKA_1430300","-0.0031 (0.17)","-0.071 (0.61)","0.34 (6.2e-50)","-0.32 (2e-62)","-0.0028 (0.98)","0.097 (2.4e-06)","-0.18 (9.2e-05)","0.22 (5.2e-10)","-0.34 (0.00041)","-0.013 (0.3)","0.0042 (0.94)","-0.00034 (1)","0.27 (0.63)","PF3D7_1214500","PKNH_1434000"
"PBANKA_1430400","-0.016 (0.81)","0.064 (0.46)","1 (3.6e-96)","-0.76 (4.3e-184)","-0.08 (6.1e-11)","-0.002 (0.32)","0.0055 (0.15)","-0.0036 (0.047)","0.0045 (0.18)","0.092 (0.00016)","-1.2 (0.8)","0.033 (1)","-0.071 (0.56)","PF3D7_1214600","PKNH_1434100"
"PBANKA_1430700","0.013 (0.17)","-0.0018 (0.62)","0.0033 (0.00064)","-0.00016 (0.85)","0.032 (1e-11)","-0.012 (0.00084)","0.81 (6.9e-24)","-0.8 (1.7e-42)","-0.037 (0.12)","0.00079 (5.5e-08)","-0.0026 (0.8)","0.00048 (0.6)","0.00024 (0.69)","PF3D7_1214900","PKNH_1434400"
"PBANKA_1431900","-0.0027 (0.72)","0.014 (0.7)","0.61 (1.5e-72)","-0.42 (7.5e-93)","0.024 (0.39)","-0.052 (1.1e-16)","0.00073 (0.84)","-0.0035 (0.044)","0.00029 (1.2e-07)","-0.0013 (4.5e-18)","-7.7e-05 (1)","-5e-04 (0.89)","-0.005 (0.63)","PF3D7_1216200","PKNH_1435700"
"PBANKA_1434200","-0.0069 (0.69)","0.031 (0.26)","0.81 (3.5e-83)","-0.45 (1.4e-91)","-0.28 (3.6e-44)","0.043 (5.7e-12)","-0.07 (0.035)","-0.29 (3.4e-20)","-0.016 (0.31)","-0.0022 (0.39)","-0.0012 (0.8)","-7e-04 (0.6)","-0.0055 (0.69)","PF3D7_1218600","PKNH_1438200"
"PBANKA_1434800","-6.4e-05 (0.6)","0.012 (0.5)","0.11 (1.4e-32)","0.028 (0.00056)","-0.028 (0.071)","0.063 (9.8e-18)","0.62 (6.5e-20)","-0.59 (2.2e-16)","-0.34 (2.2e-07)","0 (1)","0 (1)","0 (1)","0 (1)","PF3D7_1219600","PKNH_1438800"
"PBANKA_1435500","0.00011 (0.66)","-0.00075 (0.74)","0.043 (1.3e-12)","0.024 (0.021)","0.15 (2.8e-06)","0.07 (0.035)","-0.37 (1.4e-07)","0.05 (0.15)","-0.04 (0.2)","-5e-04 (0.26)","-0.0018 (0.8)","-8e-05 (0.58)","0.011 (0.71)","PF3D7_1220300","PKNH_1439500"
"PBANKA_1436400","0.017 (0.047)","0.085 (0.22)","-0.33 (1.8e-12)","-0.077 (5.6e-23)","0.044 (2.5e-05)","-0.05 (5.5e-27)","0.0018 (0.065)","-0.039 (1.7e-05)","-0.0024 (0.17)","1.7e-05 (0.36)","-0.00037 (0.8)","-0.00023 (0.6)","0.039 (0.79)","PF3D7_1221200","PKNH_1440300"
"PBANKA_1436500","-0.073 (0.69)","0.00053 (0.31)","0.0029 (4.8e-16)","0.0068 (6.8e-28)","-0.0053 (0.00014)","0.01 (0.00017)","0.47 (5.7e-14)","-0.38 (9.5e-07)","-0.09 (0.41)","-0.019 (0.17)","0.96 (0.8)","0.62 (0.6)","-0.21 (0.63)","PF3D7_1221300","PKNH_1440400"
"PBANKA_1437400","-0.0039 (0.58)","0.03 (0.39)","0.27 (6e-25)","-0.1 (2.4e-12)","-0.11 (2e-11)","-0.02 (0.026)","0.71 (4.4e-27)","-0.44 (1.8e-15)","-0.051 (0.17)","-0.0096 (0.27)","7e-05 (1)","-0.004 (1)","-0.13 (0.75)","PF3D7_1222500","PKNH_1441600"
"PBANKA_1437700","-0.3 (0.016)","-0.042 (0.073)","-0.0049 (0.038)","0.00033 (0.12)","0.009 (6.9e-05)","-0.0042 (0.00054)","0.0012 (0.4)","0.19 (2.4e-08)","0.23 (0.13)","-0.17 (0.0089)","1.6 (0.8)","0.41 (0.6)","0.2 (0.59)","PF3D7_1222800","PKNH_1442000"
"PBANKA_1438000","-0.035 (0.0055)","0.0014 (0.91)","0.022 (2.6e-06)","0.25 (6.8e-143)","0.93 (2.7e-68)","-0.48 (7.4e-85)","0.057 (0.16)","-0.098 (4.7e-09)","2e-04 (0.037)","0.012 (0.03)","0.012 (1)","-0.0018 (1)","0.02 (0.7)","PF3D7_1223100","PKNH_1442300"
"PBANKA_1439000","-0.016 (0.69)","2.3e-05 (0.5)","-6.1e-05 (0.12)","0.00053 (0.0041)","0.066 (3.5e-30)","0.1 (4.7e-24)","0.28 (0.0029)","0.18 (0.0033)","-0.22 (0.0021)","-0.00075 (0.89)","0.81 (0.8)","0.24 (0.6)","-0.096 (0.56)","PF3D7_1224100","PKNH_1443300"
"PBANKA_1440000","-0.015 (0.69)","0.036 (0.28)","0.4 (2.9e-89)","-0.22 (3e-60)","-0.1 (3.4e-10)","0.052 (4.4e-14)","-0.067 (0.017)","-0.09 (1.4e-05)","0.99 (1.8e-18)","-1.4 (8.7e-13)","0.28 (0.8)","1.3 (0.6)","-0.019 (0.76)","PF3D7_1225100","PKNH_1444500"
"PBANKA_1440200","0.8 (2.9e-06)","-0.47 (0.094)","-0.34 (1.4e-35)","0.01 (1.7e-09)","-0.02 (4.4e-07)","0.013 (6.6e-08)","-0.036 (4.1e-05)","-0.0071 (0.0024)","0.08 (5.4e-23)","-0.052 (2.2e-06)","0.025 (0.8)","-0.00017 (0.6)","0.086 (0.66)","PF3D7_1225300","PKNH_1444700"
"PBANKA_1441600","-0.00061 (0.77)","0.00033 (0.13)","0.15 (4.9e-35)","0.099 (4.9e-12)","0.27 (2.9e-15)","-0.26 (8.3e-43)","0.35 (8e-09)","-0.1 (2.2e-10)","0.001 (2.1e-16)","-0.017 (0.16)","0.019 (0.8)","0.00046 (0.94)","-0.0018 (0.0056)","PF3D7_1226800","PKNH_1446200"
"PBANKA_1442800","6e-04 (0.22)","-0.012 (0.53)","0.043 (0.00023)","0.25 (2.8e-29)","0.093 (0.15)","-0.17 (2.9e-30)","0.0014 (0.0035)","0.00097 (3.9e-24)","-0.0014 (1.7e-12)","-0.0023 (0.25)","-0.0041 (0.8)","-0.003 (0.53)","-0.086 (0.63)","PF3D7_1228100","PKNH_1447500"
"PBANKA_1443700","-0.012 (0.7)","0.039 (0.31)","0.52 (7.4e-61)","0.0063 (0.8)","-0.62 (8.2e-57)","-0.0084 (0.021)","0 (1)","0 (1)","0.7 (4.1e-15)","-1.2 (6.4e-10)","-0.38 (0.99)","-0.25 (0.94)","-0.00014 (1)","PF3D7_1228900","PKNH_1448300"
"PBANKA_1444500","-0.14 (0.022)","-0.015 (0.00044)","-0.00068 (0.027)","-2.5e-05 (0.38)","0.0097 (1.6e-15)","0.099 (1.6e-66)","0.18 (1.5e-08)","-0.22 (3.2e-09)","0.94 (5.2e-12)","-0.13 (0.1)","0.22 (0.8)","0.17 (0.6)","0.011 (0.91)","PF3D7_1229800","PKNH_1449200"
"PBANKA_1444700","-0.12 (0.0034)","0.017 (0.79)","0.64 (1.5e-62)","0.37 (2.7e-44)","-0.44 (7.7e-19)","-0.26 (5.3e-43)","0.26 (6.9e-12)","-0.15 (4.1e-18)","0.00047 (0.93)","-0.0061 (0.48)","0.1 (0.99)","0.21 (0.6)","0.11 (0.42)","PF3D7_1230000","PKNH_1449400"
"PBANKA_1445100","0.037 (0.53)","0.017 (0.73)","0.57 (6.6e-52)","-0.22 (2.2e-12)","-0.1 (8.3e-05)","0.026 (0.00025)","-0.056 (0.00022)","-0.055 (0.16)","-0.033 (0.014)","0.0014 (2.7e-10)","-0.0062 (0.8)","-0.00093 (0.88)","0.00047 (0.63)","PF3D7_1230400","PKNH_1449800"
"PBANKA_1445700","0.00038 (0.2)","0.074 (0.3)","0.75 (6.6e-73)","-0.65 (2.6e-83)","0.28 (1.1e-13)","-0.15 (7e-42)","-0.014 (1.1e-05)","-0.001 (0.08)","-0.00046 (0.00071)","0.076 (0.011)","0.26 (0.87)","0.0023 (0.6)","-0.0048 (0.95)","PF3D7_1231000","PKNH_1450400"
"PBANKA_1447000","0.00016 (0.69)","-0.0036 (0.93)","0.11 (3.2e-16)","0.47 (2.5e-121)","-0.052 (0.33)","-0.24 (6.4e-25)","0.23 (5.6e-12)","-0.14 (6.4e-16)","1.5e-05 (0.87)","3.8e-05 (0.26)","-0.00034 (0.81)","-9.7e-05 (0.6)","-0.00023 (0.7)","PF3D7_1232300","PKNH_1451800"
"PBANKA_1447600","-0.39 (0.00017)","0.14 (0.0029)","-0.17 (6.6e-07)","-0.028 (3.6e-05)","0.017 (0.12)","-0.016 (2.5e-14)","-2e-04 (0.91)","-0.00052 (0.95)","0.088 (1.1e-09)","0.68 (5.5e-09)","1.3 (0.84)","-0.13 (1)","-0.14 (0.79)","PF3D7_1232900","PKNH_1452400"
"PBANKA_1450200","-0.0038 (0.69)","-0.012 (0.86)","0.1 (4.6e-14)","0.8 (3.3e-228)","-0.16 (0.0014)","-0.37 (4e-56)","0.0013 (0.6)","-0.0058 (0.016)","3.7e-05 (0.95)","0.0023 (0.093)","0 (1)","0.00028 (0.6)","0.035 (0.63)","PF3D7_1235600","PKNH_1455300"
"PBANKA_1451000","0.00029 (0.43)","0.02 (0.79)","0.46 (1.2e-50)","0.29 (1.6e-35)","-0.26 (7.8e-08)","-0.24 (2.7e-48)","0.12 (0.00078)","-0.26 (4.6e-22)","-0.0021 (0.67)","1e-04 (0.18)","-0.003 (0.8)","-0.00015 (0.59)","-0.0077 (0.96)","PF3D7_1236400","PKNH_1456100"
"PBANKA_1451500","-0.02 (0.72)","0.0019 (0.7)","0.016 (8.2e-13)","0.048 (8.3e-76)","0.27 (5.6e-33)","-0.18 (1.8e-16)","0.48 (4e-10)","-0.59 (3e-22)","-0.017 (0.38)","-0.0023 (0.19)","0.044 (0.8)","6.4e-06 (1)","0.028 (0.72)","PF3D7_1236900","PKNH_1456600"
"PBANKA_1451900","0.098 (0.69)","-0.32 (0.015)","-0.0037 (0.73)","0.066 (4.4e-23)","0.15 (5.6e-09)","-0.078 (1.5e-10)","-0.0073 (0.047)","0.002 (3e-14)","0.00022 (0.28)","-0.00018 (0.16)","0.0074 (0.8)","0.0051 (0.6)","0.091 (0.63)","PF3D7_1237300","PKNH_1457000"
"PBANKA_1452200","1.3 (5.8e-09)","-1.6 (3.9e-21)","-0.076 (0.12)","-0.0013 (0.54)","0.00084 (0.26)","0.0094 (2.8e-11)","-0.0011 (0.9)","-0.02 (0.00019)","-0.023 (8.7e-05)","0.15 (1.4e-09)","0.22 (0.97)","0.76 (0.6)","0.006 (0.99)","PF3D7_1237600","PKNH_1457300"
"PBANKA_1452300","0.7 (0.016)","-1.4 (1.1e-09)","-0.2 (8.9e-22)","8.1e-05 (0.92)","0 (1)","4.2e-05 (0.36)","0.0016 (0.00041)","-0.013 (1.1e-06)","0.049 (0.00023)","0.025 (0.04)","-0.017 (1)","0.0021 (1)","0.28 (0.088)","PF3D7_1237700","PKNH_1457500"
"PBANKA_1455800","-0.024 (0.69)","-0.006 (0.68)","0.45 (9.9e-49)","-0.23 (1.5e-10)","-0.22 (4.4e-09)","0.012 (0.011)","-0.097 (0.0059)","-0.017 (0.019)","0.0096 (0.36)","4e-04 (0.0077)","0.3 (0.8)","0.00077 (0.6)","-0.037 (0.63)","PF3D7_1242400","PKNH_1461700"
"PBANKA_1456200","-1.3e-05 (0.85)","0.054 (0.27)","0.96 (5.5e-100)","-0.73 (4.3e-185)","-0.061 (3.3e-09)","-0.0024 (0.21)","0.018 (8.4e-08)","-0.026 (1.7e-07)","8.8e-05 (0.15)","0.00018 (0.00074)","-0.00052 (0.8)","-0.0012 (0.6)","-0.00033 (0.06)","PF3D7_1242800","PKNH_1462100"
"PBANKA_1456300","7.5e-05 (0.69)","0.0082 (0.07)","0.58 (8.7e-29)","-0.38 (2.8e-111)","-3.1e-05 (0.31)","0.00062 (0.16)","0.041 (9.6e-12)","-0.015 (5e-09)","0.00023 (2.2e-05)","-3.4e-05 (0.44)","-0.00093 (0.8)","-0.00047 (0.6)","-1e-04 (0.71)","PF3D7_1242900","PKNH_1462200"
"PBANKA_1456800","-0.11 (0.69)","-0.00064 (0.82)","-2e-04 (0.88)","0.024 (9.8e-23)","0.5 (8.7e-69)","-0.18 (2.1e-24)","0.33 (8.6e-05)","-0.35 (2.5e-10)","0.034 (0.42)","-0.022 (0.26)","0.68 (0.8)","0.24 (0.6)","-0.16 (0.56)","PF3D7_1243500","PKNH_1462800"
"PBANKA_1456900","1.5 (1.6e-08)","-1.5 (5.6e-15)","-0.13 (2.8e-15)","-0.0096 (1.8e-18)","0.0038 (3.6e-05)","0.013 (1.4e-07)","-0.018 (0.27)","0.091 (1.1e-09)","0.8 (2.6e-16)","-0.14 (0.05)","0.35 (0.8)","0.1 (0.6)","0.081 (0.75)","PF3D7_1243600","PKNH_1462900"
"PBANKA_1457200","-0.028 (0.69)","0.00045 (0.9)","0.015 (2.5e-14)","0.066 (9.9e-127)","0.18 (6.6e-29)","-0.14 (2.1e-20)","0.45 (3.1e-10)","-0.48 (2.3e-21)","-0.017 (0.39)","-0.0049 (0.16)","0.15 (0.8)","-0.0019 (0.6)","0.028 (0.71)","PF3D7_1243900","PKNH_1463200"
"PBANKA_1457900","-0.0029 (0.6)","0.0021 (0.098)","0.0018 (0.41)","0.11 (5e-90)","-0.048 (0.014)","0.033 (1.4e-06)","0.27 (1.4e-07)","-0.00013 (1)","-0.11 (0.023)","-0.013 (0.048)","0.00017 (0.83)","0 (1)","0.0015 (0.85)","PF3D7_1244700","PKNH_1464400"
"PBANKA_1458000","1.1 (2.3e-06)","-1.7 (3.9e-21)","0.018 (0.0058)","-0.00066 (0.94)","-0.031 (1.8e-09)","0.00014 (0.93)","0.011 (0.0011)","-0.022 (1e-13)","0.00045 (0.26)","0.05 (2.4e-05)","-0.0034 (1)","0.39 (0.6)","0.42 (0.032)","PF3D7_1244800","PKNH_1464500"
"PBANKA_1458100","-0.27 (0.0089)","0.041 (0.68)","0.81 (1.6e-56)","-0.45 (1e-90)","-0.034 (0.0037)","0.022 (2.8e-12)","-0.057 (5e-09)","-0.024 (0.036)","0.00037 (0.86)","0.054 (3.4e-06)","-0.16 (0.87)","0.19 (0.6)","0.26 (0.12)","PF3D7_1244900","PKNH_1464600"
"PBANKA_1458700","-0.039 (0.69)","0.046 (0.31)","0.77 (9.2e-83)","-0.59 (7.2e-72)","-0.33 (8.5e-30)","-0.00047 (0.94)","0.1 (0.00037)","-0.023 (0.083)","0.01 (0.37)","-0.017 (0.25)","1.4 (0.8)","0.079 (0.6)","-0.019 (0.85)","PF3D7_1245500","PKNH_1465200"
"PBANKA_1458900","-0.057 (0.7)","0.044 (0.27)","-0.27 (2.3e-20)","0.018 (0.00011)","-0.05 (4.5e-05)","0.019 (0.0042)","-0.018 (0.61)","0.41 (1.3e-17)","-0.78 (1.4e-17)","0.15 (7e-06)","-0.53 (0.8)","-0.3 (0.68)","-0.24 (0.64)","PF3D7_1245800","PKNH_1465400"
"PBANKA_1459400","-0.15 (0.28)","-0.076 (0.15)","-0.014 (0.011)","-0.0037 (4.9e-06)","-0.0015 (0.015)","-2.2e-05 (0.33)","7.6e-05 (0.6)","0.046 (8.8e-08)","1.1 (2.4e-27)","-0.68 (1.5e-09)","-1.2 (0.8)","0.61 (0.84)","0.046 (0.91)","PF3D7_1246300","PKNH_1466000"
"PBANKA_1462400","0.0076 (0.72)","0.0041 (0.31)","0.25 (1.4e-47)","-0.23 (1.2e-53)","-0.0092 (0.25)","0.24 (9.4e-46)","-0.28 (0.0022)","-0.45 (8.9e-33)","-0.017 (0.15)","0.07 (0.092)","-0.0067 (1)","-0.39 (0.6)","-0.03 (0.63)","PF3D7_1249500","PKNH_1469200"
"PBANKA_1462500","-0.041 (0.69)","2e-05 (0.98)","0.017 (0.002)","0.032 (0.0023)","0.051 (0.036)","0.034 (0.12)","0.064 (0.28)","-0.43 (2.7e-16)","-0.026 (0.62)","0.0012 (6e-05)","0.24 (0.8)","0.001 (0.84)","-0.09 (0.63)","PF3D7_1249600","PKNH_1469300"
"PBANKA_1463400","-0.037 (0.78)","0.062 (0.0099)","0.18 (1.7e-19)","0.19 (6.8e-20)","0.076 (0.085)","-0.26 (1.1e-65)","-0.011 (0.019)","-0.0038 (0.0038)","0.07 (0.00014)","-0.13 (0.011)","-0.24 (0.96)","-0.42 (0.24)","-0.01 (0.74)","PF3D7_1250500","PKNH_1470500"
"PBANKA_1463600","-0.04 (0.69)","0.016 (0.3)","0.29 (2.2e-27)","-0.081 (0.018)","-0.21 (5e-08)","0.0057 (0.089)","-0.0046 (0.47)","-0.0012 (0.89)","0.00031 (0.29)","0.17 (0.019)","2 (0.89)","0.81 (0.63)","-0.25 (0.65)","PF3D7_1250700","PKNH_1470700"
