"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pb"
"PKNH_1228000","-0.00056 (5.7e-10)","-1e-04 (0.76)","0.07 (6.2e-05)","0.037 (0.21)","-0.12 (6.1e-09)","0.0046 (0.61)","0.012 (0.81)","0.48 (2.6e-21)","-0.6 (1.2e-30)","-0.00025 (9.1e-12)","5.2e-05 (1)","0.002 (0.018)","0.00011 (0.16)","PF3D7_1454100","PBANKA_1317800"
"PKNH_1224900","5.7e-05 (0.3)","-3.4e-05 (0.98)","0.2 (1.9e-05)","-0.071 (0.059)","-0.0045 (0.94)","-0.016 (0.0053)","-0.035 (0.2)","0.037 (0.0014)","-0.0097 (0.017)","0.00016 (2.3e-07)","0.00043 (0.98)","0.00069 (0.11)","-0.00019 (0.0017)","PF3D7_1456900","PBANKA_1320600"
"PKNH_1224800","6.7e-05 (0.24)","1e-04 (0.064)","0.21 (2.7e-11)","-0.25 (2.8e-08)","-0.079 (0.00077)","0.065 (1e-08)","0.0065 (0.99)","-0.11 (5.2e-18)","-6.8e-06 (1)","-0.00086 (0.095)","0.00056 (0.88)","-0.097 (0.018)","1.8e-05 (0.55)","PF3D7_1457000","PBANKA_1320700"
"PKNH_1222100","0.00012 (8.3e-07)","1.7e-06 (1)","0.14 (1.8e-07)","-0.14 (0.0031)","-0.084 (2.7e-05)","-0.0038 (0.042)","0.0018 (0.78)","0.0076 (0.0016)","0.021 (0.06)","-0.05 (1.2e-05)","8.7e-05 (1)","0.00011 (0.92)","3.8e-05 (0.3)","PF3D7_1459700","PBANKA_1323300"
"PKNH_1222000","0.022 (1.7e-11)","0.13 (0.41)","0.25 (2.4e-10)","-0.064 (0.0036)","-0.089 (1.8e-13)","-0.028 (1.1e-15)","-0.012 (0.43)","-0.0042 (8.6e-05)","-0.00019 (0.73)","0.0017 (0.06)","0.0096 (1)","-0.016 (0.4)","0.019 (0.0047)","PF3D7_1459800","PBANKA_1323400"
"PKNH_1221400","0.36 (5.7e-19)","0.18 (0.082)","0.071 (0.26)","-0.28 (7.7e-21)","-3.4e-05 (1)","-0.0011 (0.14)","0.00013 (0.16)","0.00077 (0.47)","-0.0021 (0.72)","-4.1e-07 (0.97)","-1.8e-05 (0.88)","-3.7e-05 (0.018)","0.014 (0.28)","PF3D7_1460300","PBANKA_1324000"
"PKNH_1221300","-5.7e-05 (0.014)","2.7e-06 (1)","0.32 (1.4e-18)","-0.29 (3.2e-18)","-0.027 (0.016)","0.036 (5.8e-22)","-0.0051 (0.92)","-0.083 (1.6e-40)","0.014 (2e-04)","0.057 (0.0023)","0.025 (1)","0.19 (0.73)","-0.053 (0.025)","PF3D7_1460400","PBANKA_1324100"
"PKNH_1221000","0.41 (1.9e-18)","-0.022 (0.98)","0.099 (0.12)","-0.25 (6.8e-19)","-4.5e-05 (1)","-0.0011 (0.13)","0.02 (9.8e-06)","-0.047 (7.5e-24)","-0.0063 (0.39)","0.0091 (4.1e-05)","-0.058 (0.92)","-0.14 (0.034)","0.016 (0.49)","PF3D7_1460700","PBANKA_1324400"
"PKNH_1220300","-0.0012 (0.085)","9.3e-06 (0.016)","-0.00032 (0.088)","0.0049 (8.3e-20)","0.0062 (8.6e-07)","0.02 (2.5e-43)","-0.018 (0.22)","0.0043 (0.43)","0.98 (1.2e-29)","-0.36 (8.5e-09)","0 (1)","0 (1)","0.0067 (0.28)","PF3D7_1461400","PBANKA_1325100"
"PKNH_1220100","-0.00014 (0.17)","0.0049 (0.26)","0.14 (6.2e-05)","-0.25 (1.5e-21)","0.13 (2.9e-08)","-0.057 (9.4e-12)","-0.0039 (0.79)","6.5e-05 (0.95)","-0.0011 (0.29)","-0.00013 (0.96)","-0.082 (0.88)","0.00036 (0.17)","-1e-05 (0.71)","PF3D7_1461600","PBANKA_1325300"
"PKNH_1219000","0.00011 (0.0056)","1.1e-06 (1)","-0.00037 (0.97)","0.019 (9.8e-06)","0.055 (5.6e-06)","0.08 (4.8e-22)","0.37 (1.8e-07)","-0.91 (6.1e-102)","0.0018 (0.89)","0.00036 (8.7e-11)","-0.00035 (0.98)","0.00016 (0.9)","-0.00026 (0.0056)","PF3D7_1462500","PBANKA_1326100"
"PKNH_1218800","-3e-04 (0.033)","-0.00025 (0.98)","0.25 (5.6e-12)","0.18 (0.0017)","-0.19 (1.7e-06)","-0.03 (0.049)","0.0063 (1)","-0.23 (2.2e-40)","-0.0024 (0.12)","-3.5e-05 (0.3)","-0.0017 (0.92)","6e-04 (0.9)","-6.4e-05 (0.85)","PF3D7_1462700","PBANKA_1326300"
"PKNH_1217600","-0.0068 (0.058)","0.0067 (0.51)","0.001 (0.74)","-0.009 (6.7e-06)","0.0041 (0.11)","0.073 (3.8e-22)","0.53 (1.2e-06)","-0.54 (5.6e-28)","-0.6 (2e-13)","-0.02 (0.0041)","0 (1)","-0.0088 (0.018)","0.0046 (0.021)","PF3D7_1463900","PBANKA_1327100"
"PKNH_1217300","7.8e-05 (3.1e-11)","0.099 (0.011)","0.16 (1.7e-05)","-0.16 (7.3e-18)","1.9e-05 (0.0029)","1.6e-06 (0.71)","1e-04 (2.6e-06)","0.024 (1.1e-18)","-0.03 (1.3e-06)","-2.2e-07 (0.98)","8.8e-06 (1)","-1.3e-05 (0.65)","6.2e-06 (0.044)","PF3D7_1464200","PBANKA_1327600"
"PKNH_1217100","0.00033 (1.5e-11)","0.52 (6.6e-05)","-0.37 (3.8e-10)","-0.066 (2.5e-06)","-9.7e-06 (1)","-5e-06 (0.089)","3.8e-05 (0.017)","0.00089 (0.8)","-0.00093 (0.13)","0.00013 (7.8e-11)","-4.9e-06 (1)","-0.00015 (0.83)","6e-04 (0.28)","PF3D7_1464400","PBANKA_1327800"
"PKNH_1215600","0.045 (5.7e-18)","0.43 (0.00011)","-0.38 (6e-07)","-0.12 (9.3e-11)","-1.9e-05 (1)","-0.00029 (0.14)","0 (1)","0.0081 (6.3e-44)","-0.014 (4.5e-27)","0.0014 (0.028)","-0.017 (0.92)","-8.9e-05 (1)","0.0028 (0.55)","PF3D7_1465900","PBANKA_1329300"
"PKNH_1215500","1.3e-05 (2e-06)","-0.005 (0.98)","0.00087 (0.47)","0.21 (1.1e-07)","-0.069 (0.23)","-0.09 (4.7e-16)","0.043 (0.0052)","-0.097 (1e-15)","-0.0013 (1.1e-22)","-6.8e-06 (0.046)","-7.7e-07 (1)","0.0061 (0.018)","-3.6e-06 (0.47)","PF3D7_1466000","PBANKA_1329400"
"PKNH_1213500","-0.00019 (2.6e-12)","-1.1e-05 (0.61)","0.17 (2.1e-07)","-0.19 (1.5e-07)","-0.019 (0.38)","-0.011 (0.0015)","-0.0011 (0.52)","-8e-05 (0.82)","3.5e-05 (0.01)","4e-05 (0.0066)","0.00017 (0.98)","-0.00049 (0.37)","0.00026 (1.2e-06)","PF3D7_1467800","PBANKA_1331100"
"PKNH_1213300","-0.0049 (0.068)","-0.00035 (0.98)","0.0031 (0.017)","0.1 (3.4e-22)","-0.014 (0.45)","-0.036 (7.8e-17)","0.0051 (0.75)","0.2 (1e-25)","-0.49 (8e-08)","-0.061 (0.0012)","0.13 (1)","0.075 (0.87)","-0.0086 (0.73)","PF3D7_1467900","PBANKA_1331200"
"PKNH_1213200","0.001 (2.9e-17)","6.2e-05 (0.78)","-0.00074 (0.15)","0.037 (2.8e-09)","0.15 (7.6e-11)","-0.027 (0.031)","0.34 (2.7e-05)","-0.74 (3.4e-75)","0.21 (4.1e-06)","-0.033 (0.014)","0.032 (0.98)","0 (1)","0.001 (0.57)","PF3D7_1468000","PBANKA_1331300"
"PKNH_1212700","2.1e-06 (0.2)","-2.8e-07 (1)","0.067 (0.00014)","0.053 (0.071)","-0.085 (0.0024)","0.025 (0.0066)","-0.16 (0.0012)","-0.016 (5e-04)","0.00018 (3.4e-28)","1e-05 (0.025)","-6.1e-05 (0.92)","9.1e-05 (0.15)","1e-06 (0.83)","PF3D7_1468500.1","PBANKA_1331800"
"PKNH_1210800","0.38 (4.9e-08)","-0.32 (0.021)","0.019 (0.72)","-0.12 (1.1e-16)","-4.5e-05 (1)","-0.0019 (0.14)","2.5e-05 (0.093)","0.058 (8.2e-43)","-0.13 (1.6e-29)","-9.8e-05 (0.96)","-0.051 (0.98)","-0.096 (0.65)","6.8e-05 (0.64)","PF3D7_1470200","PBANKA_1333400"
"PKNH_1210600","-4.4e-05 (0.00018)","-4e-06 (1)","0.083 (1.4e-05)","-0.26 (3.4e-10)","0.022 (0.12)","0.19 (1.6e-20)","-0.19 (0.045)","-0.081 (1.5e-05)","-0.0054 (0.00098)","0.00019 (3.6e-10)","9.1e-05 (0.98)","0.00055 (0.027)","6.5e-05 (0.02)","PF3D7_1470400","PBANKA_1333600"
"PKNH_1210200","-4.2e-06 (0.41)","-0.00047 (0.16)","0.16 (1.4e-07)","-0.29 (6.3e-13)","0.018 (0.18)","0.2 (2.4e-31)","-0.16 (0.12)","-0.21 (2.2e-27)","-0.027 (1.1e-05)","0.00056 (2.2e-05)","1e-05 (0.79)","0.0043 (0.018)","1.2e-05 (0.14)","PF3D7_1470800","PBANKA_1334000"
"PKNH_1209600","-0.0024 (0.04)","-0.00047 (0.76)","-0.00051 (0.46)","0.027 (4.6e-08)","0.18 (1.7e-20)","0.083 (1.2e-11)","0.15 (0.15)","-0.88 (3.3e-65)","-0.17 (1.8e-05)","0.0096 (0.19)","-0.016 (1)","0.029 (0.91)","-0.00071 (0.93)","PF3D7_1471400","PBANKA_1334600"
"PKNH_1208700","-8.9e-05 (0.95)","-8.4e-05 (0.76)","-0.0012 (3.6e-06)","0.059 (4.8e-21)","-0.0011 (1)","-0.016 (1.4e-05)","4e-04 (1)","0.62 (2.4e-59)","-0.31 (1.5e-06)","0.0099 (0.78)","0.015 (1)","0.32 (0.55)","-0.072 (0.021)","PF3D7_1472300","PBANKA_1335500"
"PKNH_1208600","-0.00017 (1.3e-05)","-2.3e-05 (0.44)","0.042 (0.024)","-0.023 (0.085)","0.0064 (0.3)","0.012 (8.4e-09)","0.031 (0.12)","-0.027 (2.5e-08)","0.0074 (0.77)","-0.0093 (0.091)","0.0067 (0.98)","0.0035 (0.85)","-6.2e-05 (0.98)","PF3D7_1472400","PBANKA_1335600"
"PKNH_1208200","-5.7e-06 (0.96)","-6.7e-08 (1)","0.055 (0.00041)","0.098 (0.046)","-0.19 (3.7e-13)","0.0064 (0.19)","-0.0047 (0.87)","-0.039 (3.7e-21)","0.0012 (3.7e-10)","3.2e-06 (0.36)","0.0028 (0.88)","-5.1e-05 (0.17)","-0.00029 (0.17)","PF3D7_1472800","PBANKA_1336000"
"PKNH_1206600","2.6e-05 (0.17)","2.6e-06 (1)","0.034 (1.6e-05)","-0.012 (0.53)","-0.058 (0.019)","0.027 (0.026)","0.0083 (0.97)","-0.21 (1.7e-17)","0.11 (0.29)","-0.016 (0.19)","-0.016 (1)","0.0074 (0.99)","-0.0057 (0.34)","PF3D7_1322200","PBANKA_1337500"
"PKNH_1206300","-8.7e-05 (4.7e-06)","4e-05 (0.76)","0.028 (0.015)","0.34 (9.6e-20)","-0.15 (0.00087)","0.16 (4.2e-16)","-0.32 (0.013)","-0.13 (1.8e-12)","-0.0075 (0.28)","0.0067 (0.0049)","-0.0028 (1)","0.025 (0.75)","-0.0037 (0.32)","PF3D7_1322500","PBANKA_1337800"
"PKNH_1205600","-0.00025 (0.41)","0.078 (0.39)","0.24 (3.9e-12)","0.06 (0.0091)","-0.18 (5.8e-19)","-0.07 (1.3e-37)","-0.015 (0.15)","0.0021 (4.8e-09)","-0.00044 (0.67)","0.0052 (0.3)","0.038 (0.98)","-0.045 (0.65)","-0.014 (0.02)","PF3D7_1323200","PBANKA_1338400"
"PKNH_1204600","-0.00038 (0.024)","0.0098 (0.08)","0.15 (4.7e-06)","-0.2 (2.3e-27)","-0.015 (0.00043)","0.021 (1.8e-12)","-0.05 (0.00018)","-0.00032 (0.24)","0 (1)","0 (1)","0 (1)","0 (1)","0.001 (0.28)","PF3D7_1324200","PBANKA_1339400"
"PKNH_1204300","-0.94 (1.4e-08)","-0.074 (0.39)","0.069 (2.2e-06)","-0.077 (0.1)","-0.1 (5.7e-05)","-0.0039 (0.38)","0.05 (0.00045)","-0.016 (1.1e-05)","0.017 (0.14)","0.62 (2.9e-15)","-2 (0.92)","0.21 (0.99)","0.29 (0.35)","PF3D7_1324500","PBANKA_1339700"
"PKNH_1204000","0.00015 (4.7e-12)","-5.4e-05 (0.5)","0.064 (0.0027)","-0.15 (5.4e-05)","-0.031 (0.36)","0.048 (1.9e-12)","-0.089 (0.0068)","-0.05 (3.1e-36)","3.7e-05 (0.87)","-1.1e-05 (6.9e-13)","1.7e-05 (0.98)","6.7e-05 (0.018)","2.5e-06 (0.57)","PF3D7_1324800","PBANKA_1340000"
"PKNH_1202900","-0.01 (0.014)","-0.00065 (0.98)","0.00079 (0.91)","0.27 (4e-37)","0.12 (0.0096)","-0.13 (9.6e-10)","-0.14 (0.012)","0.00065 (0.46)","0.00098 (0.15)","1.4e-05 (1)","-0.05 (0.88)","-0.0053 (0.98)","0.0082 (0.23)","PF3D7_1325900","PBANKA_1341000"
"PKNH_1202700","-0.046 (1.3e-07)","-2.9e-05 (1)","0.084 (1.3e-05)","-0.063 (4.3e-05)","-2e-06 (1)","-0.00039 (0.22)","0 (1)","0.00051 (0.25)","0.019 (5.3e-18)","0.051 (1.9e-10)","0.085 (0.98)","-0.12 (0.65)","0.029 (0.23)","PF3D7_1326000","PBANKA_1341100"
"PKNH_1202600","0.12 (4.4e-05)","-0.21 (4.6e-10)","0.012 (0.45)","0.053 (6.3e-06)","0.14 (0.00077)","-0.11 (7.8e-17)","0.21 (4.2e-05)","-0.35 (7.5e-32)","-0.061 (7.8e-05)","0.0031 (0.4)","0.059 (0.99)","-0.079 (0.7)","0.039 (0.1)","PF3D7_1326100","PBANKA_1341200"
"PKNH_1202200","0.44 (4.7e-12)","-0.16 (0.26)","0.033 (0.46)","-0.15 (2e-19)","-0.00016 (1)","-0.0017 (0.14)","0 (1)","0.0031 (0.31)","-0.0043 (0.87)","0.00021 (7.4e-09)","-0.0012 (0.88)","9.5e-05 (0.98)","0.021 (0.29)","PF3D7_1326400","PBANKA_1341600"
"PKNH_1269400","-7e-04 (3.7e-13)","-4.5e-05 (0.57)","8.8e-06 (0.41)","-0.0011 (0.47)","1.2e-06 (1)","0.00026 (0.48)","-4.3e-05 (0.034)","0.023 (2.7e-06)","0.62 (1.1e-14)","-0.51 (4e-16)","0.034 (0.98)","-0.006 (1)","-0.0038 (0.36)","PF3D7_1331100","PBANKA_1346000"
"PKNH_1268900","-1.2e-05 (0.97)","4.4e-05 (0.93)","0.016 (0.098)","-0.033 (0.24)","0.11 (0.0014)","0.034 (0.16)","-0.066 (0.64)","-0.12 (4.6e-12)","0.54 (2.8e-31)","-0.63 (4.7e-18)","0.26 (0.99)","0.4 (0.69)","-0.13 (0.00091)","PF3D7_1331600","PBANKA_1346500"
"PKNH_1267600","0.0014 (0.3)","0.00014 (0.13)","0.14 (2e-08)","-0.25 (5.2e-13)","0.0019 (1)","0.016 (0.002)","-0.036 (0.12)","-0.013 (1.1e-05)","1.6e-05 (0.96)","0.0044 (0.00071)","0.058 (0.94)","-0.028 (0.65)","-0.0076 (0.12)","PF3D7_1333000","PBANKA_1347800"
"PKNH_1265200","-0.0046 (0.42)","-0.0039 (0.47)","0.06 (0.0024)","-0.11 (1.9e-09)","-0.0058 (0.39)","-0.0034 (0.015)","0.0025 (0.75)","-0.0044 (6.6e-06)","0.17 (2.7e-24)","-0.18 (1.1e-10)","0.35 (0.9)","0.0084 (0.42)","-0.0084 (0.56)","PF3D7_1336100","PBANKA_1350000"
"PKNH_1264800","-0.0047 (0.004)","-2.3e-05 (0.66)","0.11 (2.6e-07)","-0.31 (2.2e-14)","0.042 (0.00015)","0.097 (1.3e-24)","-0.12 (0.017)","-0.098 (6.2e-31)","0.12 (2.9e-26)","-0.17 (2.5e-15)","0.0064 (1)","-0.00079 (1)","0.016 (0.0086)","PF3D7_1336400","PBANKA_1350300"
"PKNH_1264200","2.7e-06 (0.11)","2e-06 (1)","0.12 (1.3e-06)","-0.19 (6.3e-17)","-0.0034 (0.12)","-0.00012 (0.69)","-0.00017 (0.64)","3.2e-07 (0.96)","6e-05 (1.2e-06)","-3.9e-05 (0.0047)","3.4e-05 (0.98)","0.00019 (0.018)","1e-07 (0.95)","PF3D7_1337100","PBANKA_1350900"
"PKNH_1263600","-0.0034 (0.0064)","0.02 (0.065)","-0.012 (0.00044)","0.0053 (2.3e-06)","0.022 (3.4e-10)","0.027 (2.6e-16)","0.32 (6.1e-07)","-0.55 (5.9e-31)","-0.093 (1e-05)","7e-04 (0.066)","0.0019 (0.98)","-0.00074 (0.95)","0.0016 (0.074)","PF3D7_1337700","PBANKA_1351400"
"PKNH_1263300","-0.00014 (6e-04)","-9e-04 (0.98)","0.1 (0.00019)","0.1 (0.023)","-0.12 (1.3e-07)","0.0037 (0.63)","-0.027 (0.52)","-0.059 (2.4e-24)","-0.0015 (0.43)","7.5e-06 (0.61)","-0.00019 (0.98)","0.001 (0.09)","6e-05 (0.41)","PF3D7_1338000","PBANKA_1351700"
"PKNH_1263000","0.084 (2.4e-05)","0.09 (0.065)","0.44 (2e-16)","-0.32 (8.9e-28)","-4e-05 (1)","-0.00094 (0.14)","0.00022 (0.23)","0.0013 (0.22)","1.1e-05 (1)","0.0018 (0.075)","-0.048 (0.88)","-0.0027 (0.98)","0.0021 (0.61)","PF3D7_1338300","PBANKA_1352000"
"PKNH_1262900","-8e-06 (0.094)","0.0017 (0.014)","-2e-04 (0.91)","0.21 (2.3e-24)","0.049 (0.42)","-0.15 (1.1e-27)","0.021 (0.64)","-0.063 (1.1e-20)","-3e-04 (0.23)","-0.00012 (0.035)","4.5e-06 (0.98)","0.00041 (0.14)","-7.6e-07 (0.81)","PF3D7_1338400","PBANKA_1352100"
"PKNH_1262700","0.00087 (0.0025)","0.00027 (0.76)","0.051 (0.0016)","0.024 (0.66)","-0.11 (0.0071)","0.031 (2.3e-05)","-0.07 (0.19)","-0.028 (8.8e-17)","-0.013 (0.1)","-0.00071 (0.56)","-0.0027 (0.98)","-0.055 (0.018)","0.00098 (0.1)","PF3D7_1338600","PBANKA_1352300"
"PKNH_1260700","1.5e-05 (7e-05)","1.7e-05 (0.98)","0.0034 (0.21)","0.15 (3e-08)","0.009 (0.93)","-0.045 (9.3e-07)","-0.061 (0.033)","-0.023 (1e-05)","3.5e-05 (0.68)","-0.00029 (0.98)","-0.00039 (0.99)","-0.00028 (0.87)","2.4e-06 (0.99)","PF3D7_1340700","PBANKA_1354100"
"PKNH_1259700","0.00017 (1.9e-07)","0.00037 (0.02)","-0.0085 (0.29)","0.069 (0.00024)","0.027 (0.31)","-0.039 (2.7e-07)","0.031 (0.067)","-0.26 (3.1e-20)","0.024 (0.0012)","-0.00019 (4.2e-05)","-0.00032 (0.88)","1e-05 (0.018)","1.4e-17 (0.017)","PF3D7_1341700","PBANKA_1354800"
"PKNH_1258900","0.062 (0.00013)","0.061 (0.46)","-0.016 (2.9e-05)","0.037 (1.5e-07)","-0.039 (0.0085)","-0.0057 (0.00055)","6.4e-06 (0.55)","0.0011 (0.72)","0.77 (3.2e-31)","-0.32 (0.0039)","-2.2 (0.98)","1.3 (0.75)","-0.86 (0.00019)","PF3D7_1342500","PBANKA_1355600"
"PKNH_1258000","-0.0084 (0.0017)","0.00014 (0.27)","-0.00017 (0.98)","0.36 (1.6e-34)","0.11 (0.051)","-0.13 (6.4e-09)","-0.14 (0.22)","-0.18 (1.9e-11)","0.039 (0.00013)","0.0071 (0.33)","-0.0088 (1)","0.14 (0.57)","-0.027 (0.074)","PF3D7_1343400","PBANKA_1356400"
"PKNH_1257900","-1.6e-05 (6.9e-05)","2e-04 (0.98)","0.064 (0.0098)","-0.029 (0.53)","-0.16 (4e-10)","0.0062 (0.024)","0.017 (0.3)","0.0087 (0.024)","0.037 (0.00014)","-0.082 (1.1e-08)","-0.037 (0.92)","0.013 (0.66)","0.0045 (0.05)","PF3D7_1343500","PBANKA_1356500"
"PKNH_1257000","-0.0056 (0.51)","-0.01 (0.042)","0.0086 (0.00038)","0.11 (6.8e-40)","0.11 (1.5e-13)","-0.0024 (0.73)","-0.19 (5.6e-07)","0.0038 (0.66)","1.2 (9.1e-34)","-0.55 (1.6e-11)","0.015 (0.92)","0.17 (0.35)","0.028 (0.28)","PF3D7_1344300","PBANKA_1357300"
"PKNH_1256800","-0.00025 (0.069)","-0.00022 (0.11)","0.034 (0.0087)","-0.059 (0.097)","-0.0056 (0.95)","0.023 (0.00012)","0.066 (0.12)","-0.031 (1.9e-12)","0.001 (0.66)","-0.0046 (0.16)","0.001 (0.98)","0.003 (0.12)","1e-04 (0.5)","PF3D7_1344500","PBANKA_1357400"
"PKNH_1256200","-0.55 (2.1e-09)","0.18 (0.072)","-0.11 (0.00025)","-0.007 (0.0012)","2.5e-06 (0.89)","0.00048 (0.68)","-8.3e-06 (0.92)","0.0049 (0.41)","0.05 (0.048)","0.95 (2e-21)","-1.9 (0.98)","0.57 (0.89)","-0.34 (0.19)","PF3D7_1345100","PBANKA_1358000"
"PKNH_1256000","-0.00062 (0.34)","4.4e-05 (0.66)","0.039 (3.5e-05)","0.17 (3.4e-05)","-0.047 (0.21)","-0.067 (2.7e-19)","0.0066 (0.77)","-0.12 (7.7e-05)","-0.068 (0.52)","-0.24 (0.00071)","-0.12 (0.98)","0.00038 (0.93)","2e-04 (0.87)","PF3D7_1345300","PBANKA_1358200"
"PKNH_1255400","-0.00012 (6.2e-06)","-0.00059 (0.98)","0.035 (0.00019)","0.68 (7.7e-45)","-0.23 (0.0016)","0.076 (0.0034)","-0.29 (0.0037)","-0.06 (4.1e-11)","0.013 (0.0011)","-0.017 (0.0026)","0.00069 (0.92)","-0.034 (0.018)","-0.00014 (0.044)","PF3D7_1345900","PBANKA_1358800"
"PKNH_1254800","1.6 (1.1e-19)","-1.1 (7e-06)","-0.097 (2.3e-05)","-0.023 (0.0018)","0.006 (0.39)","-0.0011 (0.67)","0.01 (0.26)","-0.016 (0.0048)","-0.0084 (0.74)","-0.00045 (0.31)","2.9e-18 (0.98)","-0.012 (0.65)","0.098 (0.28)","PF3D7_1346300","PBANKA_1359200"
"PKNH_1253900","-3.8e-05 (0.96)","-4.3e-05 (0.54)","0.015 (0.34)","0.18 (8.4e-26)","-0.15 (5.7e-10)","-0.011 (0.0028)","0.027 (0.001)","-0.00042 (0.98)","-0.095 (0.034)","0.00027 (1.6e-05)","-0.019 (0.99)","0.00072 (0.86)","0.00045 (0.1)","PF3D7_1347000","PBANKA_1359900"
"PKNH_1253100","-0.00039 (5.4e-09)","-0.00011 (0.065)","-0.016 (0.27)","0.16 (7.7e-27)","-0.031 (0.18)","0.02 (0.04)","-0.048 (0.23)","-0.0079 (0.022)","-0.004 (0.26)","0.00041 (5.8e-07)","0.0016 (0.98)","5e-04 (0.93)","-0.00025 (0.22)","PF3D7_1347800","PBANKA_1360600"
"PKNH_1252900","0.00014 (0.41)","-0.00088 (1)","0.0087 (0.0067)","0.11 (7.1e-07)","0.11 (0.0084)","0.028 (0.18)","-0.29 (0.016)","-0.027 (0.00075)","-0.074 (0.029)","-0.0036 (0.32)","0.0013 (1)","-0.0037 (0.78)","0.0022 (0.0015)","PF3D7_1348000","PBANKA_1360800"
"PKNH_1252700","0.11 (0.00049)","-0.063 (0.062)","0.061 (0.0022)","0.35 (1.8e-24)","0.21 (1.8e-06)","-0.064 (0.00014)","-0.4 (0.00022)","-0.049 (9.6e-07)","0.25 (0.00014)","-0.11 (0.25)","1.2 (0.92)","0.85 (0.65)","-0.033 (0.74)","PF3D7_1348200","PBANKA_1361000"
"PKNH_1252400","0.00014 (1e-07)","3.4e-05 (1)","0.081 (0.00053)","-0.14 (2.4e-08)","0.0032 (0.97)","0.032 (6.3e-09)","-0.055 (0.077)","-0.0094 (3e-06)","5.1e-05 (0.096)","0.00027 (2.4e-17)","-0.00049 (0.92)","-0.00024 (0.85)","-0.00033 (1.3e-06)","PF3D7_1348500","PBANKA_1361300"
"PKNH_1252300","-0.00056 (0.043)","0.0098 (0.027)","-0.00079 (0.025)","0.011 (2.7e-11)","0.042 (1.5e-12)","0.096 (6.1e-25)","0.56 (6.1e-07)","-0.97 (2e-96)","6e-04 (0.97)","-0.00055 (0.35)","-0.00021 (0.92)","0.00024 (0.36)","-3.3e-05 (0.026)","PF3D7_1348600","PBANKA_1361400"
"PKNH_1251900","-0.085 (0.002)","0.088 (0.0056)","0.094 (0.0032)","-0.33 (2.7e-12)","-0.071 (2e-08)","-0.0054 (0.027)","-0.0046 (0.64)","-0.019 (1.3e-23)","0.00097 (0.72)","0.015 (0.079)","-0.046 (0.98)","0.048 (0.96)","0.16 (0.0033)","PF3D7_1349000","PBANKA_1361800"
"PKNH_1251500","-6.4e-05 (1.2e-09)","-7.4e-06 (0.76)","0.13 (4.7e-10)","-0.26 (1.5e-13)","-0.021 (0.38)","-0.01 (0.12)","0.031 (0.39)","-0.085 (9.9e-48)","-0.0032 (0.0011)","0.00013 (1.8e-16)","6.7e-05 (1)","0.00017 (0.78)","-0.00012 (0.0047)","PF3D7_1349400","PBANKA_1362200"
"PKNH_1249800","-0.00032 (0.061)","0.0013 (1.9e-07)","0.12 (2.6e-05)","-0.18 (1.4e-05)","-0.0049 (0.89)","0.0073 (0.27)","-0.0086 (0.69)","-0.0077 (2.9e-08)","-0.0067 (3.6e-10)","2.8e-05 (0.0085)","-4.5e-05 (1)","-0.084 (0.018)","-0.00046 (0.05)","PF3D7_1351100","PBANKA_1363900"
"PKNH_1249500","6.1e-05 (1.4e-07)","0.21 (0.00055)","-0.16 (0.0013)","-0.086 (1.7e-11)","-8.1e-06 (1)","-0.00019 (0.2)","0.0042 (0.15)","-0.00098 (0.22)","-2e-04 (0.83)","4.5e-05 (1e-19)","-0.00017 (0.9)","4e-04 (0.018)","0.0011 (0.3)","PF3D7_1351400","PBANKA_1364200"
"PKNH_1248800","0.29 (4.2e-11)","-0.038 (0.98)","0.026 (0.5)","-0.072 (9.8e-06)","-0.00022 (1)","-0.0013 (0.14)","3e-05 (0.54)","0.0022 (0.38)","-0.0035 (0.5)","0.00038 (3.6e-17)","-0.00086 (0.92)","0.00053 (0.55)","-0.00019 (0.059)","PF3D7_1352200","PBANKA_1364900"
"PKNH_1403900","-8.5e-05 (0.0025)","6.9e-06 (1)","0.0071 (0.042)","0.26 (2.5e-15)","0.11 (0.11)","-0.099 (0.00017)","-0.24 (0.038)","-0.026 (0.36)","-0.15 (1.7e-16)","7.4e-05 (0.0035)","-1.5e-05 (0.98)","-0.0071 (0.018)","0.00015 (0.096)","PF3D7_1303700","PBANKA_1402200"
"PKNH_1404300","-0.0052 (0.024)","-0.0039 (0.66)","0.097 (0.00016)","-0.14 (0.0032)","-0.1 (0.0077)","-0.049 (1.1e-10)","-0.012 (0.6)","-0.012 (2.3e-06)","0.00078 (0.017)","0.026 (1.3e-14)","-0.1 (0.92)","-0.09 (0.15)","-0.025 (0.0034)","PF3D7_1304100","PBANKA_1402600"
"PKNH_1404900","-7.5e-05 (0.01)","1.1e-05 (0.98)","0.16 (5.1e-05)","-0.24 (2.2e-10)","-0.02 (0.28)","-0.01 (0.07)","-0.019 (0.29)","-0.0029 (0.03)","0.00059 (0.77)","-0.00083 (0.63)","-0.002 (0.88)","0.00058 (0.86)","-0.00076 (0.00016)","PF3D7_1304700","PBANKA_1403200"
